Passage;bTau;bGal;DoublingTime
6;0,116331154;0;26,8
9;0,3748;5,3;30,35
9;0,3646;5,3;30,35
9;0,2096;5,3;30,35
9;0,3033;5,3;30,35
9;0,3485;5,3;30,35
9;0,1724;5,3;30,35
9;0,1016;5,3;30,35
9;0,1931;5,3;30,35
9;0,0733;5,3;30,35
9;0,1663;5,3;30,35
9;0,0929;5,3;30,35
9;0,3636;5,3;30,35
9;0,3992;5,3;30,35
9;0,0931;5,3;30,35
9;0,1687;5,3;30,35
9;0,2162;5,3;30,35
9;0,3169;5,3;30,35
9;0,2994;5,3;30,35
9;0,3416;5,3;30,35
9;0,3407;5,3;30,35
13;0,377648846;15;33,9
15;0,417;18,98;35,5
15;0,4995;18,98;35,5
15;0,6682;18,98;35,5
15;0,569;18,98;35,5
15;0,3875;18,98;35,5
15;0,3456;18,98;35,5
15;0,496;18,98;35,5
15;0,5382;18,98;35,5
15;0,5764;18,98;35,5
15;0,5518;18,98;35,5
15;0,4974;18,98;35,5
15;0,4547;18,98;35,5
15;0,391;18,98;35,5
15;0,5621;18,98;35,5
15;0,5375;18,98;35,5
15;0,4916;18,98;35,5
15;0,4264;18,98;35,5
15;0,5418;18,98;35,5
15;0,5023;18,98;35,5
15;0,5679;18,98;35,5
15;0,5074;18,98;35,5
15;0,46;18,98;35,5
15;0,4806;18,98;35,5
15;0,5227;18,98;35,5
15;0,5743;18,98;35,5
15;0,6491;18,98;35,5
20;0,418273549;39;37,1
25;0,328239406;36;38,7
28;-0,0801;40,17;40,3
28;-0,0156;40,17;40,3
28;0,232;40,17;40,3
28;0,2118;40,17;40,3
28;0,0375;40,17;40,3
28;0,0864;40,17;40,3
28;0,072;40,17;40,3
28;0,2475;40,17;40,3
28;0,3321;40,17;40,3
28;0,2472;40,17;40,3
28;0,3129;40,17;40,3
28;0,3883;40,17;40,3
28;0,5058;40,17;40,3
28;0,3688;40,17;40,3
28;0,3168;40,17;40,3
28;0,3601;40,17;40,3
28;0,2807;40,17;40,3
28;0,3278;40,17;40,3
28;0,2939;40,17;40,3
36;-0,0179;52,02;41,9
36;0,0374;52,02;41,9
36;-0,0689;52,02;41,9
36;-0,0533;52,02;41,9
36;-0,1122;52,02;41,9
36;0,0416;52,02;41,9
36;-0,1052;52,02;41,9
36;0,1078;52,02;41,9
36;0,1286;52,02;41,9
36;-0,0439;52,02;41,9
36;0,0563;52,02;41,9
36;-0,1069;52,02;41,9
36;0,0029;52,02;41,9
36;0,2955;52,02;41,9
36;-0,0777;52,02;41,9
36;0,0838;52,02;41,9
36;0,0444;52,02;41,9
36;0,2268;52,02;41,9
36;0,0948;52,02;41,9
36;0,3652;52,02;41,9
36;0,168;52,02;41,9
36;-0,0023;52,02;41,9
36;0,1773;52,02;41,9
36;0,1185;52,02;41,9
38;-0,124821929;57,4;43,5
